DOMESTIC MONTHLY REPORT INDUSTRY TOTALS (see definitions),,,,,,,,,,,,,,,,,,,,,
CITY PAIR STATISTICS :  TRAFFIC ON BOARD BY STAGES,,,,,,,,,,,,,,,,,,,,,
REPORT PERIOD FROM 1 JULY 1994 TO JUNE 2004,,,,,,,,,,,,,,,,,,,,,
Traffic covers both directions of each city pair.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Monthly totals,,,,,,,,,,,,Moving annual totals,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City Pair Route,,Year,Month,Revenue,Aircraft,Rev Pax,Distance,RPKs,ASKs,Seats,,Revenue,Aircraft,Rev Pax,,RPKs,ASKs,Seats,,,
Industry Domestic/Regional,,,,Passengers,Trips,LF %,GC (klm),,,,,Passengers,Trips,LF %,,,,,,,
ABX,SYD,1994,7,"9,582",328,69.9,452,"4,331,064","6,196,016","13,708",,,,,,,,,,Albury - Sydney,
ABX,SYD,1994,8,"9,831",334,71.2,452,"4,443,612","6,244,380","13,815",,,,,,,,,,Albury - Sydney,
ABX,SYD,1994,9,"10,210",340,71.3,452,"4,614,920","6,472,188","14,319",,,,,,,,,,Albury - Sydney,
ABX,SYD,1994,10,"10,542",367,69.0,452,"4,764,984","6,909,724","15,287",,,,,,,,,,Albury - Sydney,
ABX,SYD,1994,11,"9,409",334,67.6,452,"4,252,868","6,289,580","13,915",,,,,,,,,,Albury - Sydney,
ABX,SYD,1994,12,"9,472",359,63.4,452,"4,281,344","6,748,812","14,931",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,1,"7,704",329,59.6,452,"3,482,208","5,843,908","12,929",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,2,"8,137",322,61.1,452,"3,677,924","6,018,832","13,316",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,3,"9,600",339,67.9,452,"4,339,200","6,387,212","14,131",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,4,"9,600",352,66.5,452,"4,339,200","6,523,264","14,432",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,5,"9,155",342,64.1,452,"4,138,060","6,459,984","14,292",,,,,,,,,,Albury - Sydney,
ABX,SYD,1995,6,"9,603",374,62.6,452,"4,340,556","6,939,104","15,352",,"627,641","6,833",66.5,,"716,704,143","1,078,045,152","968,542",,Albury - Sydney,
ABX,SYD,1995,7,"9,496",376,62.1,452,"4,292,192","6,911,532","15,291",,"635,716","6,792",67.1,,"715,059,942","1,065,030,932","956,464",,Albury - Sydney,
ABX,SYD,1995,8,"9,941",436,66.2,452,"4,493,332","6,789,492","15,021",,"708,269","7,124",71.4,,"808,069,357","1,132,211,296","1,015,698",,Albury - Sydney,
ABX,SYD,1995,9,"10,165",421,70.2,452,"4,594,580","6,543,604","14,477",,"730,726","7,407",73.6,,"821,506,873","1,116,064,110","1,006,559",,Albury - Sydney,
ABX,SYD,1995,10,"9,914",435,66.1,452,"4,481,128","6,775,480","14,990",,"749,331","7,309",76.8,,"860,485,696","1,120,112,935","1,003,472",,Albury - Sydney,
ABX,SYD,1995,11,"9,833",420,67.9,452,"4,444,516","6,541,344","14,472",,"789,216","7,589",78.3,,"920,840,632","1,175,340,898","1,044,587",,Albury - Sydney,
ABX,SYD,1995,12,"8,982",401,65.2,452,"4,059,864","6,226,752","13,776",,"753,381","7,288",76.2,,"847,907,331","1,112,710,855","987,345",,Albury - Sydney,
ABX,SYD,1996,1,"9,316",358,82.0,452,"4,210,832","5,134,268","11,359",,"754,869","7,378",76.8,,"885,913,067","1,152,840,319","1,006,284",,Albury - Sydney,
ABX,SYD,1996,2,"8,694",373,69.5,452,"3,929,688","5,657,684","12,517",,"804,006","7,419",81.3,,"964,796,612","1,186,772,981","1,023,783",,Albury - Sydney,
ABX,SYD,1996,3,"9,742",416,68.1,452,"4,403,384","6,469,928","14,314",,"706,812","7,124",74.0,,"800,275,359","1,081,591,280","960,770",,Albury - Sydney,
ABX,SYD,1996,4,"8,877",361,71.4,452,"4,012,404","5,623,332","12,441",,"756,708","7,549",74.8,,"869,351,104","1,162,499,608","1,027,831",,Albury - Sydney,
ABX,SYD,1996,5,"9,099",426,62.1,452,"4,112,748","6,617,732","14,641",,"747,453","7,250",76.5,,"868,818,372","1,136,444,520","1,006,889",,Albury - Sydney,
ABX,SYD,1996,6,"9,589",405,69.1,452,"4,334,228","6,276,020","13,885",,"697,915","7,392",69.3,,"791,058,815","1,141,469,998","1,008,562",,Albury - Sydney,
