DOMESTIC/REGIONAL AIRLINES,,,,,,,,,
CITY PAIR STATISTICS :  TRAFFIC ON BOARD BY STAGES,,,,,,,,,
REPORT PERIOD FROM 1 JANUARY 1984  TO 30 JUNE 1994,,,,,,,,,
Traffic covers both directions of each city pair.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
City Pair Route,,Year,Month,Revenue,Aircraft,Rev Pax,Distance,RPKs,ASKs
Industry Domestic/Regional,,,,Passengers,Trips,LF %,GC (klm),,
,,,,,,,,,
,,,,,,,,,
ABX,SYD,1984,1,"11,478",296,79.8,452,"5,188,056","6,501,323"
ABX,SYD,1984,2,"9,590",276,68.2,452,"4,334,680","6,355,836"
ABX,SYD,1984,3,"10,462",294,70.5,452,"4,728,824","6,707,552"
ABX,SYD,1984,4,"9,366",243,77.2,452,"4,233,432","5,483,720"
ABX,SYD,1984,5,"10,110",245,76.9,452,"4,569,720","5,942,419"
ABX,SYD,1984,6,"9,241",246,72.1,452,"4,176,932","5,793,248"
ABX,SYD,1984,7,"8,375",184,79.1,452,"3,785,500","4,785,714"
ABX,SYD,1984,8,"9,686",193,84.8,452,"4,378,072","5,162,821"
ABX,SYD,1984,9,"9,464",191,84.8,452,"4,277,728","5,044,491"
ABX,SYD,1984,10,"9,610",185,84.3,452,"4,343,720","5,152,693"
ABX,SYD,1984,11,"10,320",189,78.7,452,"4,664,640","5,927,116"
ABX,SYD,1984,12,"10,929",192,81.4,452,"4,939,908","6,068,683"
ABX,SYD,1985,1,"11,133",191,83.9,452,"5,032,116","5,997,754"
ABX,SYD,1985,2,"9,954",173,81.8,452,"4,499,208","5,500,254"
ABX,SYD,1985,3,"11,701",194,86.3,452,"5,288,852","6,128,450"
ABX,SYD,1985,4,"11,251",192,84.2,452,"5,085,452","6,039,729"
ABX,SYD,1985,5,"12,049",214,82.8,452,"5,446,148","6,577,473"
ABX,SYD,1985,6,"11,515",218,79.2,452,"5,204,780","6,571,692"
ABX,SYD,1985,7,"9,652",192,77.0,452,"4,362,704","5,665,849"
ABX,SYD,1985,8,"13,684",271,82.2,452,"6,185,168","7,524,535"
ABX,SYD,1985,9,"14,121",327,76.3,452,"6,382,692","8,365,258"
ABX,SYD,1985,10,"14,791",364,74.5,452,"6,685,532","8,973,868"
ABX,SYD,1985,11,"12,973",314,75.8,452,"5,863,796","7,735,879"
ABX,SYD,1985,12,"14,616",362,72.1,452,"6,606,432","9,162,874"
ABX,SYD,1986,1,"15,558",354,78.1,452,"7,032,216","9,004,118"
ABX,SYD,1986,2,"12,408",310,72.1,452,"5,608,416","7,778,663"
ABX,SYD,1986,3,"14,369",326,75.7,452,"6,494,788","8,579,641"
ABX,SYD,1986,4,"13,677",312,75.9,452,"6,182,004","8,144,933"
ABX,SYD,1986,5,"12,980",274,78.6,452,"5,866,960","7,464,326"
ABX,SYD,1986,6,"11,788",273,72.6,452,"5,328,176","7,339,085"
ABX,SYD,1986,7,"12,543",268,77.2,452,"5,669,436","7,343,829"
ABX,SYD,1986,8,"14,595",292,82.6,452,"6,596,940","7,986,610"
ABX,SYD,1986,9,"13,713",273,82.8,452,"6,198,276","7,485,841"
ABX,SYD,1986,10,"13,876",300,77.5,452,"6,271,952","8,092,841"
ABX,SYD,1986,11,"11,773",289,67.5,452,"5,321,396","7,883,550"
ABX,SYD,1986,12,"11,685",274,68.5,452,"5,281,620","7,710,394"
ABX,SYD,1987,1,"11,707",259,73.6,452,"5,291,564","7,189,625"
ABX,SYD,1987,2,"10,418",248,68.6,452,"4,708,936","6,864,338"
ABX,SYD,1987,3,"13,127",287,74.5,452,"5,933,404","7,964,301"
ABX,SYD,1987,4,"13,510",289,77.3,452,"6,106,520","7,899,767"
ABX,SYD,1987,5,"12,654",289,72.2,452,"5,719,608","7,921,895"
ABX,SYD,1987,6,"11,641",263,71.7,452,"5,261,732","7,338,538"
ABX,SYD,1987,7,"12,895",281,78.3,452,"5,828,540","7,443,857"
ABX,SYD,1987,8,"13,363",293,79.6,452,"6,040,076","7,588,035"
ABX,SYD,1987,9,"12,712",287,80.6,452,"5,745,824","7,128,814"
ABX,SYD,1987,10,"13,232",333,72.9,452,"5,980,864","8,204,203"
ABX,SYD,1987,11,"11,431",291,70.4,452,"5,166,812","7,339,222"
ABX,SYD,1987,12,"10,463",257,71.4,452,"4,729,276","6,623,636"
ABX,SYD,1988,1,"9,477",211,75.9,452,"4,283,604","5,643,747"
ABX,SYD,1988,2,"9,097",219,69.7,452,"4,111,844","5,899,346"
ABX,SYD,1988,3,"11,387",255,77.2,452,"5,146,924","6,667,000"
ABX,SYD,1988,4,"10,569",230,74.9,452,"4,777,188","6,378,088"
ABX,SYD,1988,5,"10,026",226,72.9,452,"4,531,752","6,216,395"
ABX,SYD,1988,6,"8,754",225,68.9,452,"3,956,808","5,742,827"
ABX,SYD,1988,7,"10,404",254,75.7,452,"4,702,608","6,212,164"
ABX,SYD,1988,8,"10,435",260,72.2,452,"4,716,620","6,532,715"
ABX,SYD,1988,9,"11,201",257,79.7,452,"5,062,852","6,352,386"
ABX,SYD,1988,10,"11,181",256,79.0,452,"5,053,812","6,397,230"
ABX,SYD,1988,11,"7,830",228,65.1,452,"3,539,160","5,436,498"
ABX,SYD,1988,12,"8,202",238,64.7,452,"3,707,304","5,729,991"
ABX,SYD,1989,1,"7,517",228,59.5,452,"3,397,684","5,710,393"
ABX,SYD,1989,2,"7,306",203,65.0,452,"3,302,312","5,080,480"
ABX,SYD,1989,3,"9,643",237,73.3,452,"4,358,636","5,946,297"
ABX,SYD,1989,4,"7,232",203,65.7,452,"3,268,864","4,975,440"
ABX,SYD,1989,5,"7,060",206,63.1,452,"3,191,120","5,057,242"
ABX,SYD,1989,6,"7,361",202,66.1,452,"3,327,172","5,033,543"
ABX,SYD,1989,7,"9,246",229,72.3,452,"4,179,192","5,780,349"
ABX,SYD,1989,8,"5,708",156,66.1,452,"2,580,016","3,903,201"
ABX,SYD,1989,11,986,40,48.3,452,"445,672","922,716"
ABX,SYD,1989,12,"1,885",76,46.9,452,"852,020","1,816,674"
ABX,SYD,1990,1,"2,141",62,63.3,452,"967,732","1,528,803"
ABX,SYD,1990,2,"2,469",68,66.4,452,"1,115,988","1,680,705"
ABX,SYD,1990,3,"2,775",80,64.5,452,"1,254,300","1,944,651"
ABX,SYD,1990,4,"3,276",111,65.2,452,"1,480,752","2,271,092"
ABX,SYD,1990,5,"4,033",192,54.6,452,"1,822,916","3,338,674"
ABX,SYD,1990,6,"4,377",240,48.2,452,"1,978,404","4,104,573"
ABX,SYD,1990,7,"5,705",321,49.5,452,"2,578,660","5,209,414"
ABX,SYD,1990,8,"5,449",258,57.4,452,"2,462,948","4,290,850"
ABX,SYD,1990,9,"6,177",249,63.5,452,"2,792,004","4,396,857"
ABX,SYD,1990,10,"6,455",302,53.4,452,"2,917,660","5,463,783"
ABX,SYD,1990,11,"5,416",263,48.4,452,"2,448,032","5,057,917"
ABX,SYD,1990,12,"5,629",266,49.2,452,"2,544,308","5,171,358"
ABX,SYD,1991,1,"4,199",232,43.0,452,"1,897,948","4,413,833"
ABX,SYD,1991,2,"4,663",247,44.8,452,"2,107,676","4,704,634"
ABX,SYD,1991,3,"4,343",219,48.0,452,"1,963,036","4,089,658"
ABX,SYD,1991,4,"5,686",252,55.6,452,"2,570,072","4,622,432"
ABX,SYD,1991,5,"4,978",225,51.9,452,"2,250,056","4,335,368"
ABX,SYD,1991,6,"4,632",211,52.0,452,"2,093,664","4,026,277"
ABX,SYD,1991,7,"6,785",274,59.6,452,"3,066,820","5,145,671"
ABX,SYD,1991,8,"6,223",241,62.1,452,"2,812,796","4,529,462"
ABX,SYD,1991,9,"6,241",229,65.2,452,"2,820,932","4,326,583"
ABX,SYD,1991,10,"7,710",271,69.3,452,"3,484,920","5,028,745"
ABX,SYD,1991,11,"6,562",224,70.2,452,"2,966,024","4,225,105"
ABX,SYD,1991,12,"5,560",203,64.3,452,"2,513,120","3,908,429"
ABX,SYD,1992,1,"4,397",171,65.3,452,"1,987,444","3,043,559"
ABX,SYD,1992,2,"5,701",218,59.8,452,"2,576,852","4,309,117"
ABX,SYD,1992,3,"5,796",249,56.3,452,"2,619,792","4,653,272"
ABX,SYD,1992,4,"6,428",220,66.0,452,"2,905,456","4,402,206"
ABX,SYD,1992,5,"5,858",229,60.5,452,"2,647,816","4,376,555"
